,Unnamed: 0_level_0,Regular Season,Regular Season,Regular Season,Regular Season
,Team,W,L,W/L%,GB
0,Maccabi Tel Aviv *,19,3,0.864,-
1,Bnei Herzliya,10,12,0.455,9.0
2,Hapoel Jerusalem *,15,7,0.682,4.0
3,Hapoel Tel Aviv *,18,4,0.818,1.0
4,Hapoel Be'er Sheva,10,12,0.455,9.0
5,Hapoel Haifa,6,16,0.273,13.0
6,Hapoel Holon *,14,8,0.636,5.0
7,Ironi Kiryat Ata,7,15,0.318,12.0
8,Hapoel Galil Elyon *,11,11,0.5,8.0
9,Hapoel Eilat,7,15,0.318,12.0
10,Ironi Ness Ziona *,11,11,0.5,8.0
11,Hapoel Gilboa Galil,4,18,0.182,15.0
